Name,Date of birth,Nationality,Team,League
Ander Herrera,1989-08-14,Spain,Athletic Bilbao,LaLiga
Dani García,1990-05-24,Spain,Athletic Bilbao,LaLiga
Beñat Prados,2001-02-08,Spain,Athletic Bilbao,LaLiga
Oihan Sancet,2000-04-25,Spain,Athletic Bilbao,LaLiga
Iker Muniain,1992-12-19,Spain,Athletic Bilbao,LaLiga
Álex Berenguer,1995-07-04,Spain,Athletic Bilbao,LaLiga
Jon Morcillo,1998-09-15,Spain,Athletic Bilbao,LaLiga
Nico Serrano,2003-03-05,Spain,Athletic Bilbao,LaLiga
Adu Ares,2001-10-12,Spain,Athletic Bilbao,LaLiga
Nico Williams,2002-07-12,Spain,Athletic Bilbao,LaLiga
Iñaki Williams,1994-06-15,Ghana,Athletic Bilbao,LaLiga
Asier Villalibre,1997-09-30,Spain,Athletic Bilbao,LaLiga
Raúl García,1986-07-11,Spain,Athletic Bilbao,LaLiga
Gorka Guruzeta,1996-09-12,Spain,Athletic Bilbao,LaLiga
Javier Martón,1999-05-06,Spain,Athletic Bilbao,LaLiga
Filip Jörgensen,2002-04-16,Denmark,Villarreal CF,LaLiga
Pepe Reina,1982-08-31,Spain,Villarreal CF,LaLiga
Matteo Gabbia,1999-10-21,Italy,Villarreal CF,LaLiga
Jorge Cuenca,1999-11-17,Spain,Villarreal CF,LaLiga
Aïssa Mandi,1991-10-22,Algeria,Villarreal CF,LaLiga
Raúl Albiol,1985-09-04,Spain,Villarreal CF,LaLiga
Alfonso Pedraza,1996-04-09,Spain,Villarreal CF,LaLiga
Alberto Moreno,1992-07-05,Spain,Villarreal CF,LaLiga
Juan Foyth,1998-01-12,Argentina,Villarreal CF,LaLiga
Kiko Femenía,1991-02-02,Spain,Villarreal CF,LaLiga
Ramón Terrats,2000-10-18,Spain,Villarreal CF,LaLiga
Étienne Capoue,1988-07-11,France,Villarreal CF,LaLiga
Francis Coquelin,1991-05-13,France,Villarreal CF,LaLiga
Santi Comesaña,1996-10-05,Spain,Villarreal CF,LaLiga
Dani Parejo,1989-04-16,Spain,Villarreal CF,LaLiga
Manu Trigueros,1991-10-17,Spain,Villarreal CF,LaLiga
Álex Baena,2001-07-20,Spain,Villarreal CF,LaLiga
Denis Suárez,1994-01-06,Spain,Villarreal CF,LaLiga
Ben Brereton Díaz,1999-04-18,Chile,Villarreal CF,LaLiga
Yéremy Pino,2002-10-20,Spain,Villarreal CF,LaLiga
Ilias Akhomach,2004-04-16,Spain,Villarreal CF,LaLiga
Gerard Moreno,1992-04-07,Spain,Villarreal CF,LaLiga
Alexander Sørloth,1995-12-05,Norway,Villarreal CF,LaLiga
José Luis Morales,1987-07-23,Spain,Villarreal CF,LaLiga
Bono,1991-04-05,Morocco,Sevilla FC,LaLiga
Marko Dmitrović,1992-01-24,Serbia,Sevilla FC,LaLiga
Alfonso Pastor,2000-10-04,Spain,Sevilla FC,LaLiga
Loïc Badé,2000-04-11,France,Sevilla FC,LaLiga
Tanguy Nianzou,2002-06-07,France,Sevilla FC,LaLiga
Marcão,1996-06-05,Brazil,Sevilla FC,LaLiga
Federico Gattoni,1999-02-16,Argentina,Sevilla FC,LaLiga
Kike Salas,2002-04-23,Spain,Sevilla FC,LaLiga
Marcos Acuña,1991-10-28,Argentina,Sevilla FC,LaLiga
Adrià Pedrosa,1998-05-13,Spain,Sevilla FC,LaLiga
Ludwig Augustinsson,1994-04-21,Sweden,Sevilla FC,LaLiga
Gonzalo Montiel,1997-01-01,Argentina,Sevilla FC,LaLiga
Jesús Navas,1985-11-21,Spain,Sevilla FC,LaLiga
Nemanja Gudelj,1991-11-16,Serbia,Sevilla FC,LaLiga
Fernando,1987-07-25,Brazil,Sevilla FC,LaLiga
Joan Jordán,1994-07-06,Spain,Sevilla FC,LaLiga
Óliver Torres,1994-11-10,Spain,Sevilla FC,LaLiga
Ivan Rakitic,1988-03-10,Croatia,Sevilla FC,LaLiga
Thomas Delaney,1991-09-03,Denmark,Sevilla FC,LaLiga
Óscar Rodríguez,1998-06-28,Spain,Sevilla FC,LaLiga
Oussama Idrissi,1996-02-26,Morocco,Sevilla FC,LaLiga
Papu Gómez,1988-02-15,Argentina,Sevilla FC,LaLiga
Lucas Ocampos,1994-07-11,Argentina,Sevilla FC,LaLiga
Erik Lamela,1992-03-04,Argentina,Sevilla FC,LaLiga
Tecatito,1993-01-06,Mexico,Sevilla FC,LaLiga
Adnan Januzaj,1995-02-05,Belgium,Sevilla FC,LaLiga
Suso,1993-11-19,Spain,Sevilla FC,LaLiga
Rony Lopes,1995-12-28,Portugal,Sevilla FC,LaLiga
Juanlu Sánchez,2003-08-15,Spain,Sevilla FC,LaLiga
Youssef En-Nesyri,1997-06-01,Morocco,Sevilla FC,LaLiga
Rafa Mir,1997-06-18,Spain,Sevilla FC,LaLiga
Iván Romero,2001-04-10,Spain,Sevilla FC,LaLiga
Giorgi Mamardashvili,2000-09-29,Georgia,Valencia CF,LaLiga
Jaume Doménech,1990-11-05,Spain,Valencia CF,LaLiga
Cristian Rivero,1998-03-21,Spain,Valencia CF,LaLiga
Mouctar Diakhaby,1996-12-19,Guinea,Valencia CF,LaLiga
Cenk Özkacar,2000-10-06,Turkey,Valencia CF,LaLiga
Eray Cömert,1998-02-04,Switzerland,Valencia CF,LaLiga
Gabriel Paulista,1990-11-26,Brazil,Valencia CF,LaLiga
Cristhian Mosquera,2004-06-27,Spain,Valencia CF,LaLiga
José Gayà,1995-05-25,Spain,Valencia CF,LaLiga
Jesús Vázquez,2003-01-02,Spain,Valencia CF,LaLiga
Thierry Correia,1999-03-09,Portugal,Valencia CF,LaLiga
Dimitri Foulquier,1993-03-23,Guadeloupe,Valencia CF,LaLiga
Hugo Guillamón,2000-01-31,Spain,Valencia CF,LaLiga
Uros Racic,1998-03-17,Serbia,Valencia CF,LaLiga
Pepelu,1998-08-11,Spain,Valencia CF,LaLiga
André Almeida,2000-05-30,Portugal,Valencia CF,LaLiga
Yunus Musah,2002-11-29,United States,Valencia CF,LaLiga
Javi Guerra,2003-05-13,Spain,Valencia CF,LaLiga
Koba Koindredi,2001-10-27,Neukaledonien,Valencia CF,LaLiga
Samu Castillejo,1995-01-18,Spain,Valencia CF,LaLiga
Fran Pérez,2002-09-09,Spain,Valencia CF,LaLiga
Hugo Duro,1999-11-10,Spain,Valencia CF,LaLiga
Marcos André,1996-10-20,Brazil,Valencia CF,LaLiga
Diego López,2002-05-13,Spain,Valencia CF,LaLiga
Alberto Marí,2001-07-11,Spain,Valencia CF,LaLiga
Agustín Marchesín,1988-03-16,Argentina,Celta de Vigo,LaLiga
Iván Villar,1997-07-09,Spain,Celta de Vigo,LaLiga
Joseph Aidoo,1995-09-29,Ghana,Celta de Vigo,LaLiga
Unai Núñez,1997-01-30,Spain,Celta de Vigo,LaLiga
Óscar Mingueza,1999-05-13,Spain,Celta de Vigo,LaLiga
José Fontán,2000-02-11,Spain,Celta de Vigo,LaLiga
Carlos Domínguez,2001-02-11,Spain,Celta de Vigo,LaLiga
Manu Sánchez,2000-08-24,Spain,Celta de Vigo,LaLiga
Sergio Carreira,2000-10-13,Spain,Celta de Vigo,LaLiga
Kevin Vázquez,1993-03-23,Spain,Celta de Vigo,LaLiga
Renato Tapia,1995-07-28,Peru,Celta de Vigo,LaLiga
Gabri Veiga,2002-05-27,Spain,Celta de Vigo,LaLiga
Fran Beltrán,1999-02-03,Spain,Celta de Vigo,LaLiga
Luca de la Torre,1998-05-23,United States,Celta de Vigo,LaLiga
Carlos Dotor,2001-03-15,Spain,Celta de Vigo,LaLiga
Williot Swedberg,2004-02-01,Sweden,Celta de Vigo,LaLiga
Miguel Baeza,2000-03-27,Spain,Celta de Vigo,LaLiga
Jonathan Bamba,1996-03-26,Cote d'Ivoire,Celta de Vigo,LaLiga
Franco Cervi,1994-05-26,Argentina,Celta de Vigo,LaLiga
Carles Pérez,1998-02-16,Spain,Celta de Vigo,LaLiga
Jörgen Strand Larsen,2000-02-06,Norway,Celta de Vigo,LaLiga
Iago Aspas,1987-08-01,Spain,Celta de Vigo,LaLiga
Santi Mina,1995-12-07,Spain,Celta de Vigo,LaLiga
Gonçalo Paciência,1994-08-01,Portugal,Celta de Vigo,LaLiga
Miguel Rodríguez,2003-04-29,Spain,Celta de Vigo,LaLiga
Aaron Ramsdale,1998-05-14,England,Arsenal FC,Premier League
Matt Turner,1994-06-24,United States,Arsenal FC,Premier League
Rúnar Alex Rúnarsson,1995-02-18,Iceland,Arsenal FC,Premier League
William Saliba,2001-03-24,France,Arsenal FC,Premier League
Gabriel Magalhães,1997-12-19,Brazil,Arsenal FC,Premier League
Jurrien Timber,2001-06-17,Netherlands,Arsenal FC,Premier League
Jakub Kiwior,2000-02-15,Poland,Arsenal FC,Premier League
Auston Trusty,1998-08-12,United States,Arsenal FC,Premier League
Rob Holding,1995-09-20,England,Arsenal FC,Premier League
Oleksandr Zinchenko,1996-12-15,Ukraine,Arsenal FC,Premier League
Kieran Tierney,1997-06-05,Scotland,Arsenal FC,Premier League
Nuno Tavares,2000-01-26,Portugal,Arsenal FC,Premier League
Ben White,1997-10-08,England,Arsenal FC,Premier League
Takehiro Tomiyasu,1998-11-05,Japan,Arsenal FC,Premier League
Cédric Soares,1991-08-31,Portugal,Arsenal FC,Premier League
Declan Rice,1999-01-14,England,Arsenal FC,Premier League
Thomas Partey,1993-06-13,Ghana,Arsenal FC,Premier League
Jorginho,1991-12-20,Italy,Arsenal FC,Premier League
Mohamed Elneny,1992-07-11,Egypt,Arsenal FC,Premier League
Albert Sambi Lokonga,1999-10-22,Belgium,Arsenal FC,Premier League
Martin Ødegaard,1998-12-17,Norway,Arsenal FC,Premier League
Kai Havertz,1999-06-11,Germany,Arsenal FC,Premier League
Emile Smith Rowe,2000-07-28,England,Arsenal FC,Premier League
Fábio Vieira,2000-05-30,Portugal,Arsenal FC,Premier League
Gabriel Martinelli,2001-06-18,Brazil,Arsenal FC,Premier League
Leandro Trossard,1994-12-04,Belgium,Arsenal FC,Premier League
Bukayo Saka,2001-09-05,England,Arsenal FC,Premier League
Nicolas Pépé,1995-05-29,Cote d'Ivoire,Arsenal FC,Premier League
Reiss Nelson,1999-12-10,England,Arsenal FC,Premier League
Marquinhos,2003-04-07,Brazil,Arsenal FC,Premier League
Gabriel Jesus,1997-04-03,Brazil,Arsenal FC,Premier League
Folarin Balogun,2001-07-03,United States,Arsenal FC,Premier League
Eddie Nketiah,1999-05-30,England,Arsenal FC,Premier League
Ederson,1993-08-17,Brazil,Manchester City,Premier League
Stefan Ortega,1992-11-06,Germany,Manchester City,Premier League
Zack Steffen,1995-04-02,United States,Manchester City,Premier League
Scott Carson,1985-09-03,England,Manchester City,Premier League
Rúben Dias,1997-05-14,Portugal,Manchester City,Premier League
Nathan Aké,1995-02-18,Netherlands,Manchester City,Premier League
John Stones,1994-05-28,England,Manchester City,Premier League
Manuel Akanji,1995-07-19,Switzerland,Manchester City,Premier League
Aymeric Laporte,1994-05-27,Spain,Manchester City,Premier League
Taylor Harwood-Bellis,2002-01-30,England,Manchester City,Premier League
Sergio Gómez,2000-09-04,Spain,Manchester City,Premier League
João Cancelo,1994-05-27,Portugal,Manchester City,Premier League
Rico Lewis,2004-11-21,England,Manchester City,Premier League
Kyle Walker,1990-05-28,England,Manchester City,Premier League
Rodri,1996-06-22,Spain,Manchester City,Premier League
Kalvin Phillips,1995-12-02,England,Manchester City,Premier League
Máximo Perrone,2003-01-07,Argentina,Manchester City,Premier League
Mateo Kovacic,1994-05-06,Croatia,Manchester City,Premier League
Bernardo Silva,1994-08-10,Portugal,Manchester City,Premier League
Kevin De Bruyne,1991-06-28,Belgium,Manchester City,Premier League
Cole Palmer,2002-05-06,England,Manchester City,Premier League
Phil Foden,2000-05-28,England,Manchester City,Premier League
Jack Grealish,1995-09-10,England,Manchester City,Premier League
Erling Haaland,2000-07-21,Norway,Manchester City,Premier League
Julián Álvarez,2000-01-31,Argentina,Manchester City,Premier League
Kepa Arrizabalaga,1994-10-03,Spain,Chelsea FC,Premier League
Gabriel Slonina,2004-05-15,United States,Chelsea FC,Premier League
Marcus Bettinelli,1992-05-24,England,Chelsea FC,Premier League
Wesley Fofana,2000-12-17,France,Chelsea FC,Premier League
Benoît Badiashile,2001-03-26,France,Chelsea FC,Premier League
Levi Colwill,2003-02-26,England,Chelsea FC,Premier League
Trevoh Chalobah,1999-07-05,England,Chelsea FC,Premier League
Malang Sarr,1999-01-23,France,Chelsea FC,Premier League
Thiago Silva,1984-09-22,Brazil,Chelsea FC,Premier League
Ben Chilwell,1996-12-21,England,Chelsea FC,Premier League
Marc Cucurella,1998-07-22,Spain,Chelsea FC,Premier League
Ian Maatsen,2002-03-10,Netherlands,Chelsea FC,Premier League
Lewis Hall,2004-09-08,England,Chelsea FC,Premier League
Reece James,1999-12-08,England,Chelsea FC,Premier League
Malo Gusto,2003-05-19,France,Chelsea FC,Premier League
Enzo Fernández,2001-01-17,Argentina,Chelsea FC,Premier League
Andrey Santos,2004-05-03,Brazil,Chelsea FC,Premier League
Lesley Ugochukwu,2004-03-26,France,Chelsea FC,Premier League
Conor Gallagher,2000-02-06,England,Chelsea FC,Premier League
Carney Chukwuemeka,2003-10-20,England,Chelsea FC,Premier League
Cesare Casadei,2003-01-10,Italy,Chelsea FC,Premier League
Raheem Sterling,1994-12-08,England,Chelsea FC,Premier League
Mykhaylo Mudryk,2001-01-05,Ukraine,Chelsea FC,Premier League
Callum Hudson-Odoi,2000-11-07,England,Chelsea FC,Premier League
Diego Moreira,2004-08-06,Portugal,Chelsea FC,Premier League
Noni Madueke,2002-03-10,England,Chelsea FC,Premier League
Hakim Ziyech,1993-03-19,Morocco,Chelsea FC,Premier League
Ângelo,2004-12-21,Brazil,Chelsea FC,Premier League
Christopher Nkunku,1997-11-14,France,Chelsea FC,Premier League
Romelu Lukaku,1993-05-13,Belgium,Chelsea FC,Premier League
Nicolas Jackson,2001-06-20,Senegal,Chelsea FC,Premier League
Armando Broja,2001-09-10,Albania,Chelsea FC,Premier League
André Onana,1996-04-02,Cameroon,Manchester United,Premier League
Dean Henderson,1997-03-12,England,Manchester United,Premier League
Matej Kovar,2000-05-17,Czech Republic,Manchester United,Premier League
Tom Heaton,1986-04-15,England,Manchester United,Premier League
Lisandro Martínez,1998-01-18,Argentina,Manchester United,Premier League
Raphaël Varane,1993-04-25,France,Manchester United,Premier League
Harry Maguire,1993-03-05,England,Manchester United,Premier League
Victor Lindelöf,1994-07-17,Sweden,Manchester United,Premier League
Eric Bailly,1994-04-12,Cote d'Ivoire,Manchester United,Premier League
Jonny Evans,1988-01-03,Northern Ireland,Manchester United,Premier League
Teden Mengi,2002-04-30,England,Manchester United,Premier League
Luke Shaw,1995-07-12,England,Manchester United,Premier League
Tyrell Malacia,1999-08-17,Netherlands,Manchester United,Premier League
Brandon Williams,2000-09-03,England,Manchester United,Premier League
Álvaro Fernandez,2003-03-23,Spain,Manchester United,Premier League
Diogo Dalot,1999-03-18,Portugal,Manchester United,Premier League
Aaron Wan-Bissaka,1997-11-26,England,Manchester United,Premier League
Casemiro,1992-02-23,Brazil,Manchester United,Premier League
Scott McTominay,1996-12-08,Scotland,Manchester United,Premier League
Christian Eriksen,1992-02-14,Denmark,Manchester United,Premier League
Fred,1993-03-05,Brazil,Manchester United,Premier League
Donny van de Beek,1997-04-18,Netherlands,Manchester United,Premier League
Kobbie Mainoo,2005-04-19,England,Manchester United,Premier League
Bruno Fernandes,1994-09-08,Portugal,Manchester United,Premier League
Mason Mount,1999-01-10,England,Manchester United,Premier League
Hannibal,2003-01-21,Tunisia,Manchester United,Premier League
Marcus Rashford,1997-10-31,England,Manchester United,Premier League
Jadon Sancho,2000-03-25,England,Manchester United,Premier League
Alejandro Garnacho,2004-07-01,Argentina,Manchester United,Premier League
Antony,2000-02-24,Brazil,Manchester United,Premier League
Amad Diallo,2002-07-11,Cote d'Ivoire,Manchester United,Premier League
Facundo Pellistri,2001-12-20,Uruguay,Manchester United,Premier League
Shola Shoretire,2004-02-02,England,Manchester United,Premier League
Mason Greenwood,2001-10-01,England,Manchester United,Premier League
Anthony Martial,1995-12-05,France,Manchester United,Premier League
Alisson,1992-10-02,Brazil,Liverpool FC,Premier League
Caoimhín Kelleher,1998-11-23,Ireland,Liverpool FC,Premier League
Adrián,1987-01-03,Spain,Liverpool FC,Premier League
Ibrahima Konaté,1999-05-25,France,Liverpool FC,Premier League
Virgil van Dijk,1991-07-08,Netherlands,Liverpool FC,Premier League
Joe Gomez,1997-05-23,England,Liverpool FC,Premier League
Joel Matip,1991-08-08,Cameroon,Liverpool FC,Premier League
Nathaniel Phillips,1997-03-21,England,Liverpool FC,Premier League
Andrew Robertson,1994-03-11,Scotland,Liverpool FC,Premier League
Konstantinos Tsimikas,1996-05-12,Greece,Liverpool FC,Premier League
Trent Alexander-Arnold,1998-10-07,England,Liverpool FC,Premier League
Stefan Bajcetic,2004-10-22,Spain,Liverpool FC,Premier League
Alexis Mac Allister,1998-12-24,Argentina,Liverpool FC,Premier League
Curtis Jones,2001-01-30,England,Liverpool FC,Premier League
Thiago,1991-04-11,Spain,Liverpool FC,Premier League
Dominik Szoboszlai,2000-10-25,Hungary,Liverpool FC,Premier League
Harvey Elliott,2003-04-04,England,Liverpool FC,Premier League
Luis Díaz,1997-01-13,Colombia,Liverpool FC,Premier League
Cody Gakpo,1999-05-07,Netherlands,Liverpool FC,Premier League
Diogo Jota,1996-12-04,Portugal,Liverpool FC,Premier League
Mohamed Salah,1992-06-15,Egypt,Liverpool FC,Premier League
Darwin Núñez,1999-06-24,Uruguay,Liverpool FC,Premier League
